Name,Date_of_birth,Opening_date,Expiry_date,Credit_limit,Statement_balance,Available_credit
Beth Beavers,1963-11-15,2022-02-15,2027-02-15,49500.0,22842.84,26657.16
Pamela Wiltse,1968-09-22,2013-11-25,2018-11-25,33500.0,21194.99,12305.009999999998
Jeff Lange,1925-11-09,2014-04-26,2019-04-26,79500.0,33563.34,45936.66
Milton Rodriguez,1930-02-10,2003-11-09,2008-11-09,83500.0,72167.64,11332.36
Jason Soron,1926-12-25,2003-02-09,2008-02-09,6500.0,2366.82,4133.18
Shirley Miller,1952-07-09,2013-03-21,2018-03-21,33500.0,5259.0,28241.0
Chloe Kenworthy,1927-06-08,2017-05-06,2022-05-06,52500.0,49233.7,3266.300000000003
Patricia Jenkins,1986-11-15,2009-08-11,2014-08-11,36000.0,25312.5,10687.5
Clifford Lachance,1960-09-03,2015-12-30,2020-12-30,57500.0,13259.33,44240.67
Derek Kim,1956-03-01,2001-01-26,2006-01-26,27500.0,159.9,27340.1
Casey White,1914-03-20,2007-11-16,2012-11-16,97000.0,84836.5,12163.5
Concepcion Keath,1918-12-14,2003-05-26,2008-05-26,55000.0,34175.25,20824.75
Brian Webb,1913-07-27,2002-04-29,2007-04-29,12000.0,6252.56,5747.44
Melvina Johnson,1975-12-19,2013-03-11,2018-03-11,98000.0,19943.15,78056.85
Mary Stemm,1950-10-09,2002-08-29,2007-08-29,6500.0,1946.8,4553.2
Mark Banks,1912-12-24,2008-01-28,2013-01-28,52500.0,19420.96,33079.04
Teresa Swartz,1973-02-12,2010-08-02,2015-08-02,43000.0,32248.66,10751.34
Barbara Gorsuch,1914-06-04,2012-06-21,2017-06-21,59000.0,9642.07,49357.93
Rodolfo Li,1966-08-02,2016-02-10,2021-02-10,55500.0,43525.76,11974.239999999998
Benjamin Lehman,1991-04-03,2017-09-25,2022-09-25,89000.0,56447.39,32552.61
Ivory Hanson,1924-06-13,2014-03-31,2019-03-31,32000.0,7525.03,24474.97
Bennie Jones,1946-05-18,2021-05-14,2026-05-14,8000.0,126.04,7873.96
Kathy Miller,1921-01-02,2002-12-18,2007-12-18,17500.0,251.86,17248.14
Mary Hicks,1977-02-05,2010-06-27,2015-06-27,62000.0,34828.0,27172.0
Bill Steele,1932-05-17,2010-01-05,2015-01-05,74500.0,43968.4,30531.6
Jean Beard,1935-05-12,2010-01-26,2015-01-26,11000.0,10457.83,542.1700000000001
Frank Magee,1908-07-01,2005-06-02,2010-06-02,32500.0,6896.4,25603.6
Ebony Finch,2000-10-22,2020-12-22,2025-12-22,96000.0,95946.1,53.89999999999418
Earl Caballero,1915-07-25,2009-07-13,2014-07-13,6000.0,158.14,5841.86
Kory Bible,1967-05-14,2020-12-03,2025-12-03,26000.0,11900.67,14099.33
Michelle Dacruz,1960-12-26,2008-12-30,2013-12-30,99000.0,34387.01,64612.99
Ricky Leath,1920-04-13,2001-10-24,2006-10-24,56500.0,46605.76,9894.239999999998
Frank Brinkley,1944-01-31,2007-12-01,2012-12-01,48500.0,40802.04,7697.959999999999
David Garcia,1974-07-09,2013-10-30,2018-10-30,71000.0,65091.81,5908.190000000002
Thelma Fowler,1920-05-27,2001-05-05,2006-05-05,11500.0,1215.88,10284.119999999999
Mellissa Zavala,1981-03-04,2000-06-20,2005-06-20,18500.0,3689.22,14810.78
Effie Munden,1944-05-29,2014-06-11,2019-06-11,73500.0,32036.77,41463.229999999996
Horace Nunez,1906-12-01,2002-08-22,2007-08-22,53000.0,12990.71,40009.29
Christopher Leiby,1915-02-26,2014-05-09,2019-05-09,78000.0,66192.32,11807.679999999993
George Mayo,1935-12-25,2011-01-23,2016-01-23,87500.0,39627.95,47872.05
David Morris,1936-08-17,2021-03-08,2026-03-08,30500.0,26463.32,4036.6800000000003
Elsie Morgan,1942-07-15,2016-05-12,2021-05-12,46000.0,9473.82,36526.18
Ricky Rempe,1936-05-10,2003-07-18,2008-07-18,90000.0,39040.58,50959.42
Wanda Foust,1957-08-08,2021-09-05,2026-09-05,28500.0,15560.93,12939.07
Kristy Grossman,1982-11-11,2002-11-04,2007-11-04,39000.0,32935.95,6064.050000000003
Edward Rutt,1935-09-23,2007-03-19,2012-03-19,38500.0,9.51,38490.49
Michelle Reiter,1949-05-06,2000-02-25,2005-02-25,7500.0,1018.84,6481.16
Elizabeth Loucks,1923-07-16,2010-04-05,2015-04-05,88500.0,73407.75,15092.25
Ronnie Wade,1968-10-10,2001-05-26,2006-05-26,61000.0,6167.01,54832.99
Mary Jones,1994-04-29,2017-12-10,2022-12-10,60500.0,58417.25,2082.75
Derrick Brown,1975-05-31,2020-02-04,2025-02-04,26500.0,254.55,26245.45
Eldon Brantley,1934-01-30,2007-08-16,2012-08-16,57500.0,52479.73,5020.269999999997
Paul Weisgarber,1922-11-22,2002-04-15,2007-04-15,16000.0,7466.64,8533.36
Michael Dixon,1998-09-25,2016-11-21,2021-11-21,71000.0,26337.43,44662.57
Randall Howard,1943-04-25,2002-09-20,2007-09-20,93500.0,31583.5,61916.5
Kimberly Pittman,1977-10-10,2001-06-23,2006-06-23,22000.0,19692.01,2307.9900000000016
Vicki Halla,1964-12-07,2007-03-06,2012-03-06,87000.0,68263.86,18736.14
Richard Woods,1982-09-13,2007-04-03,2012-04-03,70500.0,29359.71,41140.29
Marcella Hanover,1942-01-18,2015-01-20,2020-01-20,47000.0,43893.19,3106.8099999999977
Helen Kruse,1947-09-28,2000-04-15,2005-04-15,13500.0,4157.0,9343.0
Werner Stewart,1997-07-23,2020-09-01,2025-09-01,94000.0,70130.94,23869.059999999998
Billie Chavez,1959-05-25,2004-06-19,2009-06-19,14000.0,13199.3,800.7000000000007
Carrie Blackwell,1948-10-28,2006-08-29,2011-08-29,66000.0,17863.3,48136.7
Natasha Ray,1926-02-15,2008-03-30,2013-03-30,66000.0,53711.9,12288.099999999999
Janet Kramer,1967-04-11,2012-01-15,2017-01-15,7000.0,4115.45,2884.55
Tressa Cantella,1971-05-11,2022-11-15,2027-11-15,99500.0,12945.23,86554.77
Wallace Garza,1987-04-08,2015-01-27,2020-01-27,34500.0,21739.37,12760.630000000001
Andre Zander,1962-01-13,2008-12-13,2013-12-13,47500.0,25788.15,21711.85
Ruby Burnett,1995-06-04,2014-10-15,2019-10-15,94000.0,19896.99,74103.01
Gertrude Adams,1964-06-15,2012-04-23,2017-04-23,24000.0,11712.87,12287.13
Barbara Lanzarin,1913-03-20,2006-10-18,2011-10-18,99500.0,29736.65,69763.35
Robert Bartelt,1931-01-26,2012-06-28,2017-06-28,3000.0,697.45,2302.55
Lenore Martinez,1923-01-30,2002-07-13,2007-07-13,46500.0,30271.16,16228.84
Michael Davilla,2000-03-22,2022-09-28,2027-09-28,31500.0,31081.83,418.16999999999825
Sandra Simpson,1941-01-09,2018-02-27,2023-02-27,3000.0,2653.85,346.1500000000001
Paul Fuller,1917-12-14,2011-09-01,2016-09-01,2500.0,1929.93,570.0699999999999
Emil Pate,1968-10-31,2015-02-10,2020-02-10,96500.0,37350.91,59149.09
Judith Caravati,1928-06-21,2000-01-19,2005-01-19,31000.0,2675.01,28324.989999999998
Belinda Amyx,1917-03-26,2013-09-05,2018-09-05,64500.0,39875.4,24624.6
Viola Copeland,1963-10-20,2012-07-25,2017-07-25,2500.0,904.26,1595.74
Todd Krause,1948-02-22,2010-04-14,2015-04-14,17500.0,9912.72,7587.280000000001
Amy Barlow,1964-11-20,2011-10-01,2016-10-01,55500.0,10503.24,44996.76
Patricia Hancock,1929-08-27,2012-03-17,2017-03-17,89000.0,7010.32,81989.68
Brian Vidot,1936-01-12,2004-05-02,2009-05-02,20000.0,15510.5,4489.5
Patricia Wilkes,1919-05-02,2009-11-12,2014-11-12,62000.0,29414.53,32585.47
Anita Loy,2003-06-01,2021-08-17,2026-08-17,47000.0,36311.05,10688.949999999997
Richard Matava,1964-01-11,2005-08-22,2010-08-22,69500.0,37524.09,31975.910000000003
Elizabeth Sun,1933-09-17,2018-12-11,2023-12-11,13000.0,9699.64,3300.3600000000006
Joshua Hoffpavir,1988-11-04,2015-05-31,2020-05-31,70500.0,6250.54,64249.46
Meri Williams,1923-09-26,2013-04-12,2018-04-12,92500.0,87411.35,5088.649999999994
Frances Jaramillo,1939-05-03,2005-02-07,2010-02-07,74000.0,13928.13,60071.87
Sharon Carr,1929-03-06,2012-02-27,2017-02-27,58500.0,26545.02,31954.98
Boyce Wilson,1928-06-29,2015-05-16,2020-05-16,51000.0,16399.46,34600.54
Daniel Hall,1935-05-20,2008-10-28,2013-10-28,16500.0,5078.49,11421.51
Aaron Barr,1937-03-26,2007-08-01,2012-08-01,95500.0,89466.13,6033.869999999995
Olga Wenrich,1942-05-24,2012-03-01,2017-03-01,55500.0,37271.76,18228.239999999998
Howard Wright,1983-03-23,2008-09-17,2013-09-17,24000.0,14187.78,9812.22
Shelby Harvey,1928-03-23,2000-09-19,2005-09-19,2500.0,1974.44,525.56
Imelda Cruz,1992-11-04,2020-04-12,2025-04-12,95000.0,58974.53,36025.47
James Wendelin,1953-02-17,2017-04-14,2022-04-14,38500.0,34338.78,4161.220000000001
Michele Sowell,1931-06-05,2006-03-13,2011-03-13,31500.0,2745.14,28754.86
Francis Fox,1931-04-15,2001-09-12,2006-09-12,78500.0,7922.22,70577.78
Grace Scott,1926-02-28,2013-05-23,2018-05-23,38500.0,12787.31,25712.690000000002
George Brown,1974-03-24,2021-02-07,2026-02-07,61000.0,34784.92,26215.08
Robyn Quirin,1926-03-28,2021-06-26,2026-06-26,91500.0,44540.69,46959.31
Victoria Bird,1943-12-16,2015-02-25,2020-02-25,76000.0,21500.69,54499.31
Jimmie Smith,1926-05-30,2021-07-13,2026-07-13,47000.0,46843.76,156.23999999999796
James Hartrick,1967-06-08,2008-07-17,2013-07-17,73000.0,13352.36,59647.64
Catherine Robinson,1946-02-15,2006-04-05,2011-04-05,58000.0,6928.1,51071.9
Paul Goodman,1941-08-18,2019-10-03,2024-10-03,84500.0,60124.26,24375.739999999998
Anthony Lee,1950-02-13,2005-02-24,2010-02-24,17000.0,3767.6,13232.4
Mary Morgan,1932-08-24,2019-08-19,2024-08-19,22000.0,20346.41,1653.5900000000001
Eugene Brace,1937-01-19,2004-07-15,2009-07-15,78000.0,66763.67,11236.330000000002
David Droke,1974-01-15,2003-01-24,2008-01-24,43500.0,38381.12,5118.879999999997
Heather Rojas,1915-06-27,2003-04-21,2008-04-21,7500.0,4970.7,2529.3
Pinkie Alley,1948-04-28,2015-03-27,2020-03-27,23000.0,19892.33,3107.6699999999983
John Garber,1930-10-20,2012-05-23,2017-05-23,92000.0,55060.24,36939.76
Diana Woosley,1979-04-22,2017-06-24,2022-06-24,91000.0,31.8,90968.2
Michael Beck,1959-07-02,2010-07-23,2015-07-23,80000.0,71081.27,8918.729999999996
Jeffrey Valdez,1937-01-20,2006-08-24,2011-08-24,80500.0,40427.64,40072.36
Mary Dixon,1952-02-13,2009-12-31,2014-12-31,55000.0,5969.23,49030.770000000004
Susan Redmon,1933-08-20,2009-05-15,2014-05-15,29500.0,14473.59,15026.41
Steve Ford,1941-10-16,2007-03-25,2012-03-25,52500.0,14438.42,38061.58
Dwight Demoss,1942-11-20,2016-09-25,2021-09-25,100000.0,54468.93,45531.07
Stephanie Thompson,1968-03-20,2007-07-01,2012-07-01,67500.0,27193.18,40306.82
Charlie Guild,1914-10-22,2000-04-29,2005-04-29,17000.0,11029.94,5970.0599999999995
Hazel Butler,1971-12-01,2015-11-16,2020-11-16,14000.0,4277.09,9722.91
Paul Medeiros,1972-10-08,2021-04-27,2026-04-27,57000.0,37718.78,19281.22
James Nosek,1956-05-02,2022-01-08,2027-01-08,25500.0,22405.65,3094.3499999999985
Richard Bain,1925-11-16,2008-10-04,2013-10-04,33000.0,29449.75,3550.25
Mary Hand,2002-05-13,2022-02-14,2027-02-14,60000.0,40479.22,19520.78
Stella Mclean,1914-06-09,2007-08-30,2012-08-30,56500.0,34916.35,21583.65
Cheryl Richburg,1959-09-20,2014-09-14,2019-09-14,64500.0,45685.34,18814.660000000003
Dion Smith,1969-09-11,2003-09-30,2008-09-30,1000.0,705.01,294.99
Matthew Riley,1923-12-24,2002-09-21,2007-09-21,73000.0,28096.52,44903.479999999996
Donald Baquet,1978-11-04,2012-11-14,2017-11-14,34000.0,14401.94,19598.059999999998
Helen Martins,1947-12-20,2018-08-25,2023-08-25,53000.0,16178.28,36821.72
Dana Mcfadden,1957-01-30,2013-07-25,2018-07-25,22500.0,5386.82,17113.18
Terri Santiago,1951-06-28,2004-05-19,2009-05-19,4500.0,2552.22,1947.7800000000002
Michael Miller,1960-12-19,2000-05-19,2005-05-19,70000.0,11821.92,58178.08
Vera Cagle,1970-03-07,2017-03-30,2022-03-30,23000.0,8983.24,14016.76
Gale Ramirez,1970-07-25,2016-12-06,2021-12-06,58000.0,31416.4,26583.6
Elvira Moe,1953-04-24,2005-07-08,2010-07-08,48000.0,3370.09,44629.91
Holly Boyden,1948-02-06,2006-03-11,2011-03-11,90000.0,66526.69,23473.309999999998
Michael Loatman,1961-03-27,2008-03-11,2013-03-11,66000.0,34071.75,31928.25
Clifford Campbell,1939-01-15,2006-08-21,2011-08-21,65000.0,53334.52,11665.480000000003
Charles Bechel,1990-04-21,2013-12-25,2018-12-25,81500.0,55281.65,26218.35
Karen Bell,1964-08-16,2006-05-31,2011-05-31,72000.0,71652.22,347.77999999999884
Randy Pele,1972-11-16,2013-11-10,2018-11-10,9500.0,2795.92,6704.08
Michael Allison,1905-05-23,2003-07-28,2008-07-28,79000.0,51743.83,27256.17
Everett Dejardin,1976-08-02,2016-07-20,2021-07-20,73000.0,1133.63,71866.37
Brett Masri,1981-12-03,2011-11-21,2016-11-21,4000.0,2200.73,1799.27
Oscar Veyna,1927-03-20,2005-08-04,2010-08-04,36000.0,19896.5,16103.5
Randall Gorder,1937-11-09,2016-09-28,2021-09-28,24500.0,23318.2,1181.7999999999993
Stacey Vaughn,1955-03-16,2022-04-21,2027-04-21,54000.0,49572.17,4427.830000000002
Annie Dean,1975-04-22,2008-10-27,2013-10-27,64000.0,49074.14,14925.86
Howard Clark,1909-09-30,2001-10-17,2006-10-17,31000.0,16024.84,14975.16
Adam Adams,1930-07-29,2008-12-19,2013-12-19,52500.0,40634.09,11865.910000000003
Kimberly Sibley,1972-08-07,2010-05-28,2015-05-28,18000.0,4566.09,13433.91
Mildred Patterson,1947-05-29,2008-09-16,2013-09-16,32500.0,21440.94,11059.060000000001
Norma Soto,1961-12-27,2015-11-03,2020-11-03,54500.0,20551.9,33948.1
Jennifer Lightsey,1930-05-29,2013-11-28,2018-11-28,71000.0,6715.74,64284.26
Robert Cordova,1926-07-23,2013-06-14,2018-06-14,11500.0,102.2,11397.8
Megan Mcnair,1922-05-03,2003-11-12,2008-11-12,54500.0,35965.31,18534.690000000002
Lorraine Barraza,1930-11-26,2002-03-07,2007-03-07,39000.0,25619.22,13380.779999999999
Kimberly Ojeda,1970-09-09,2017-09-04,2022-09-04,5000.0,1132.42,3867.58
Jose Hamrick,1943-03-24,2020-01-11,2025-01-11,39000.0,6496.28,32503.72
Carlos Hale,1969-06-19,2005-07-27,2010-07-27,5000.0,1055.17,3944.83
Vesta Vaillancourt,1992-06-04,2018-06-04,2023-06-04,76500.0,27954.8,48545.2
Amanda Haywood,1940-09-22,2014-10-13,2019-10-13,69000.0,52871.95,16128.050000000003
Lucy Anaya,1964-10-19,2008-01-16,2013-01-16,36500.0,10215.49,26284.510000000002
Kelly Adamo,1948-04-03,2006-05-19,2011-05-19,78500.0,4347.93,74152.07
Anthony Linscott,1975-06-21,2019-09-09,2024-09-09,95000.0,93188.0,1812.0
Lori Lee,1922-10-09,2007-06-12,2012-06-12,99000.0,53567.27,45432.73
Gary Mons,1971-03-14,2010-07-07,2015-07-07,66000.0,3439.07,62560.93
Mary Blossom,1923-01-22,2021-04-28,2026-04-28,20500.0,1090.11,19409.89
Christina Balistreri,1954-04-21,2002-03-19,2007-03-19,72000.0,71636.05,363.9499999999971
Nancy Long,1988-04-02,2018-07-09,2023-07-09,14000.0,7.26,13992.74
Henry Hernandez,1926-09-08,2020-06-09,2025-06-09,72000.0,52328.28,19671.72
Karin Souter,1963-11-15,2001-11-27,2006-11-27,25500.0,16766.62,8733.380000000001
Rita Sherrill,1944-12-28,2001-08-22,2006-08-22,70500.0,34670.37,35829.63
Paul Swartz,1977-03-16,2013-12-27,2018-12-27,80500.0,72872.86,7627.139999999999
Cheryl Christensen,1954-03-17,2008-07-19,2013-07-19,88000.0,70964.3,17035.699999999997
Shirley Newbury,1978-07-01,2004-04-19,2009-04-19,89500.0,2108.6,87391.4
Latanya Montgomery,1966-07-13,2004-12-25,2009-12-25,22000.0,3340.11,18659.89
Otha Stouffer,1925-08-20,2002-08-09,2007-08-09,38500.0,34979.08,3520.9199999999983
Lahoma Weidman,1938-09-28,2017-08-15,2022-08-15,26000.0,23036.43,2963.5699999999997
Rivka Garbacz,1920-04-16,2007-08-19,2012-08-19,74000.0,29286.76,44713.240000000005
Jamila Hein,1922-04-02,2006-01-14,2011-01-14,53000.0,34289.05,18710.949999999997
Donna Wetzel,1945-06-02,2021-10-15,2026-10-15,36500.0,3997.02,32502.98
Beatrice Forman,1989-01-07,2007-02-12,2012-02-12,27500.0,15475.13,12024.87
Harry Howell,1984-06-12,2007-01-30,2012-01-30,39500.0,9249.32,30250.68
Robert Mischler,1967-04-10,2009-12-30,2014-12-30,68500.0,43929.99,24570.010000000002
Rowena Morales,1918-07-31,2013-02-22,2018-02-22,10500.0,6986.07,3513.9300000000003
Aaron Duty,1946-05-18,2019-01-07,2024-01-07,3500.0,2198.02,1301.98
John Nohel,1977-06-30,2003-07-04,2008-07-04,41000.0,29882.79,11117.21
Terry Willis,1960-10-29,2013-01-08,2018-01-08,11000.0,9376.87,1623.1299999999992
John Turner,1929-02-22,2020-08-23,2025-08-23,88500.0,22720.83,65779.17
Mark Martin,1945-06-12,2001-10-11,2006-10-11,73500.0,66536.49,6963.509999999995
Robert Throop,1945-03-08,2017-01-12,2022-01-12,8500.0,594.22,7905.78
Harry Vance,1990-03-24,2014-10-22,2019-10-22,61000.0,10461.68,50538.32
Ray Washington,1959-06-30,2004-04-01,2009-04-01,20500.0,5893.68,14606.32
Linda Tate,1954-10-06,2010-04-25,2015-04-25,32000.0,1910.6,30089.4
Luis Williams,1984-01-15,2022-10-22,2027-10-22,39000.0,14795.99,24204.010000000002
Anthony Mistretta,1965-11-27,2015-10-24,2020-10-24,34000.0,20016.16,13983.84
Felix Durand,2000-08-24,2021-09-11,2026-09-11,31000.0,12205.22,18794.78
Marcus Maloney,1994-04-21,2020-06-05,2025-06-05,44500.0,36536.64,7963.360000000001
Mike Candland,1919-05-30,2017-01-21,2022-01-21,30000.0,5939.02,24060.98
Gilbert Hoyer,1913-03-17,2002-12-22,2007-12-22,80000.0,45636.93,34363.07
Crystal Rodgers,1978-12-08,2002-12-12,2007-12-12,41000.0,23605.1,17394.9
Robert Schenk,1989-01-12,2021-05-19,2026-05-19,70000.0,50381.9,19618.1
Betty Brown,1923-06-28,2017-07-24,2022-07-24,76000.0,5088.39,70911.61
Robert Jones,1919-07-26,2004-06-16,2009-06-16,35500.0,35192.04,307.9599999999991
Emily Day,1944-11-30,2006-10-22,2011-10-22,39000.0,15324.49,23675.510000000002
Michael Luongo,1984-07-25,2011-12-04,2016-12-04,61000.0,60939.08,60.919999999998254
Jennifer Copeland,1991-06-11,2010-08-04,2015-08-04,39500.0,4869.0,34631.0
James Redmond,1915-02-02,2003-09-04,2008-09-04,40500.0,17388.66,23111.34
Mary Rovero,1928-12-05,2022-06-10,2027-06-10,98500.0,80969.31,17530.690000000002
Gayle Tilotta,1957-02-16,2006-06-16,2011-06-16,27500.0,15728.07,11771.93
Chi Johnson,1985-07-07,2015-08-13,2020-08-13,33500.0,29722.85,3777.1500000000015
Raymond Riffle,1910-06-28,2002-12-05,2007-12-05,8000.0,1422.93,6577.07
Judith Malone,1956-06-30,2015-12-02,2020-12-02,18500.0,11643.67,6856.33
Dorothy Syvertsen,1931-02-01,2009-10-22,2014-10-22,9000.0,7971.06,1028.9399999999996
Cordia Clever,1963-09-13,2009-06-08,2014-06-08,67500.0,56556.33,10943.669999999998
Kimberly Reed,1949-03-14,2020-02-14,2025-02-14,18000.0,17945.24,54.7599999999984
Andrea Doiron,1960-11-05,2015-11-17,2020-11-17,45000.0,44392.06,607.9400000000023
Fannie Baldwin,1920-02-11,2001-04-25,2006-04-25,96000.0,65044.7,30955.300000000003
John Peoples,1966-01-20,2015-08-13,2020-08-13,3000.0,1172.19,1827.81
Benjamin Farrar,1932-06-22,2006-09-21,2011-09-21,20500.0,9350.82,11149.18
Brett Barbosa,1938-10-20,2017-09-15,2022-09-15,27000.0,18176.89,8823.11
Margaret Williams,1960-04-09,2016-12-03,2021-12-03,44000.0,18285.91,25714.09
George Wagner,1969-12-22,2022-09-22,2027-09-22,90000.0,6119.19,83880.81
Willie Miles,1984-01-13,2006-06-03,2011-06-03,93500.0,56418.07,37081.93
Tim Taylor,1906-09-16,2003-05-31,2008-05-31,14000.0,10428.25,3571.75
Jessie Duprey,1979-04-01,2018-04-19,2023-04-19,2000.0,1961.79,38.210000000000036
Ramona Bristle,1973-05-03,2015-04-27,2020-04-27,91000.0,82055.22,8944.779999999999
Kimberly Thomas,1919-07-11,2011-12-22,2016-12-22,88500.0,23476.45,65023.55
Don Mendoza,1963-08-11,2015-09-13,2020-09-13,500.0,241.45,258.55
Rebecca Hightower,1971-08-27,2009-03-02,2014-03-02,15000.0,13825.7,1174.2999999999993
Rebecca Gale,1974-12-10,2002-10-04,2007-10-04,6000.0,2246.39,3753.61
Sharon Marshall,1934-08-04,2004-11-18,2009-11-18,65000.0,49122.32,15877.68
Aubrey Lin,1938-10-06,2018-08-15,2023-08-15,57500.0,28588.24,28911.76
Wilbur Oneal,1964-04-03,2014-03-21,2019-03-21,28500.0,22820.72,5679.279999999999
Alvaro Mackie,1947-02-23,2011-12-15,2016-12-15,83500.0,2799.55,80700.45
Allie Martinez,1972-11-29,2009-06-14,2014-06-14,93500.0,31316.45,62183.55
Jeri Manuel,1922-08-02,2016-07-02,2021-07-02,45000.0,108.23,44891.77
Ray Miller,1960-03-26,2018-05-06,2023-05-06,36500.0,3185.35,33314.65
Calvin Bush,1990-09-15,2013-05-25,2018-05-25,35500.0,9046.78,26453.22
Luz Austell,1959-02-05,2008-10-19,2013-10-19,65500.0,61265.32,4234.68
Betty Cain,1978-05-16,2005-02-05,2010-02-05,47000.0,33221.77,13778.230000000003
William Grisham,1912-10-18,2012-07-19,2017-07-19,82000.0,2191.58,79808.42
Randy Hughes,1978-04-20,2013-03-19,2018-03-19,84500.0,42168.87,42331.13
Lora Vandevelde,1974-10-05,2021-09-09,2026-09-09,44000.0,37714.74,6285.260000000002
Louise Miller,1944-11-22,2010-09-16,2015-09-16,98500.0,29982.51,68517.49
Celia Strickland,1926-06-24,2019-03-27,2024-03-27,93500.0,49353.6,44146.4
Harold Ackles,1948-07-30,2011-11-16,2016-11-16,64000.0,29905.43,34094.57
Karen Monson,1967-05-20,2018-02-03,2023-02-03,100000.0,92093.28,7906.720000000001
Sandra Thompson,1925-05-13,2020-03-20,2025-03-20,91500.0,21636.13,69863.87
Constance Fox,1985-04-03,2006-11-11,2011-11-11,48500.0,23232.51,25267.49
Rudolph Bennett,1955-10-23,2004-03-12,2009-03-12,92500.0,36433.81,56066.19
Erica Pershall,1923-12-10,2016-11-24,2021-11-24,61500.0,17240.94,44259.06
Karla Jordon,1979-10-05,2017-10-09,2022-10-09,12000.0,2011.13,9988.869999999999
William Adkins,1967-11-29,2003-10-23,2008-10-23,29500.0,27589.66,1910.3400000000001
Marilyn Brightwell,1971-12-17,2007-05-02,2012-05-02,65000.0,64944.95,55.05000000000291
Dorothy Gilbert,1964-10-03,2015-01-20,2020-01-20,22500.0,21178.89,1321.1100000000006
Vincent Mcclinsey,1961-01-04,2002-12-20,2007-12-20,86500.0,43080.37,43419.63
Doris Hesley,1951-02-06,2020-05-23,2025-05-23,96500.0,83034.26,13465.740000000005
Patricia Vasquez,1937-01-27,2012-04-26,2017-04-26,67000.0,40874.48,26125.519999999997
Lisa Williams,1944-01-20,2020-07-02,2025-07-02,43500.0,35121.21,8378.79
Eve Cerda,1950-11-06,2021-03-09,2026-03-09,40500.0,2932.92,37567.08
Emmett Williams,1982-02-22,2005-07-01,2010-07-01,28500.0,6194.11,22305.89
Cordelia Lavoie,1949-01-02,2004-07-04,2009-07-04,36500.0,6172.37,30327.63
Herlinda Poteet,1942-09-02,2013-01-20,2018-01-20,43500.0,13531.98,29968.02
Cheryl Pickering,1911-06-23,2010-12-08,2015-12-08,61000.0,44516.87,16483.129999999997
Benjamin Steichen,1959-07-25,2000-07-09,2005-07-09,96000.0,51328.44,44671.56
Mary Page,1932-10-15,2011-11-15,2016-11-15,31000.0,24322.15,6677.8499999999985
Daniel Wendler,1927-04-27,2017-11-12,2022-11-12,78500.0,3011.88,75488.12
Fredrick Jaquez,1927-05-13,2019-09-01,2024-09-01,17500.0,3228.81,14271.19
Samuel Nunn,1983-03-28,2016-02-20,2021-02-20,6500.0,6362.42,137.57999999999993
Robt Caya,1928-08-15,2006-06-02,2011-06-02,77500.0,34067.22,43432.78
Christina Eastridge,1946-08-15,2008-03-04,2013-03-04,91000.0,81792.62,9207.380000000005
Margaret Delia,1980-11-17,2015-01-11,2020-01-11,98000.0,9892.67,88107.33
Irene Newman,1951-02-12,2008-05-22,2013-05-22,31500.0,8763.08,22736.92
Courtney Goode,1942-10-24,2001-08-30,2006-08-30,52500.0,14400.85,38099.15
Donald Porter,1927-07-15,2015-08-29,2020-08-29,15500.0,7898.66,7601.34
Lisa Hurst,1932-02-26,2020-05-11,2025-05-11,4000.0,862.57,3137.43
Anthony Carpenter,1950-11-05,2020-11-17,2025-11-17,87000.0,63918.3,23081.699999999997
Nancy Smith,1986-10-13,2014-06-23,2019-06-23,93500.0,3455.24,90044.76
Thomas Johnson,1975-10-24,2018-07-26,2023-07-26,61000.0,16718.12,44281.880000000005
Laura Sanders,1966-12-14,2020-07-03,2025-07-03,40500.0,14034.23,26465.77
Steven Bryant,1951-06-19,2014-03-15,2019-03-15,40500.0,30576.93,9923.07
Ronald Bermudez,1935-03-14,2009-02-08,2014-02-08,85500.0,54059.24,31440.760000000002
Wilma Post,1915-06-02,2004-01-23,2009-01-23,20500.0,549.73,19950.27
Frank Potter,1968-06-12,2010-07-21,2015-07-21,45000.0,21304.4,23695.6
Sherry Telles,1979-07-10,2003-01-13,2008-01-13,55000.0,16815.51,38184.490000000005
Gilbert Blanco,1950-11-17,2007-06-11,2012-06-11,76000.0,37800.73,38199.27
James Huerta,1958-12-12,2011-11-23,2016-11-23,51500.0,10758.33,40741.67
Jamie Johnson,1949-11-02,2019-06-10,2024-06-10,96500.0,84737.91,11762.089999999997
Betty Scott,1981-06-07,2011-05-12,2016-05-12,93000.0,10447.44,82552.56
Terry Bailey,1976-11-20,2018-07-17,2023-07-17,65000.0,33490.89,31509.11
Bernardo Nicholson,1970-07-27,2005-03-26,2010-03-26,86000.0,65850.01,20149.990000000005
Virginia Beeler,1965-12-14,2008-01-13,2013-01-13,22500.0,18460.43,4039.5699999999997
Jerrie Johnson,1973-06-01,2012-06-06,2017-06-06,49000.0,6863.69,42136.31
Antonia Golden,1977-10-25,2013-11-27,2018-11-27,93000.0,26135.67,66864.33
Rosella Bryan,1980-09-12,2000-05-19,2005-05-19,71000.0,64340.83,6659.169999999998
Aaron Campbell,1933-09-16,2008-02-12,2013-02-12,100000.0,33981.63,66018.37
William Couture,1922-03-27,2020-02-14,2025-02-14,500.0,193.32,306.68
